Noise,Frequency,Trial,Success
0.0,28,4,True
0.0,28,5,True
0.0,28,6,True
0.0,28,7,True
0.0,28,8,True
0.0,28,9,True
0.0,28,10,True
0.0,29,1,True
0.0,29,2,True
0.0,29,3,True
0.0,29,4,True
0.0,29,5,True
0.0,29,6,True
0.0,29,7,True
0.0,29,8,True
0.0,29,9,True
0.0,29,10,True
0.0,30,1,True
0.0,30,2,True
0.0,30,3,True
0.0,30,4,True
0.0,30,5,True
0.0,30,6,True
0.0,30,7,True
0.0,30,8,True
0.0,30,9,True
0.0,30,10,True
0.0,31,1,True
0.0,31,2,True
0.0,31,3,True
0.0,31,4,True
0.0,31,5,True
0.0,31,6,True
0.0,31,7,True
0.0,31,8,True
0.0,31,9,True
0.0,31,10,True
0.0,32,1,True
0.0,32,2,True
0.0,32,3,True
0.0,32,4,True
0.0,32,5,True
0.0,32,6,True
0.0,32,7,True
0.0,32,8,True
0.0,32,9,True
0.0,32,10,True
0.0,33,1,True
0.0,33,2,True
0.0,33,3,True
0.0,33,4,True
0.0,33,5,True
0.0,33,6,True
0.0,33,7,True
0.0,33,8,True
0.0,33,9,True
0.0,33,10,True
0.0,34,1,True
0.0,34,2,True
0.0,34,3,True
0.0,34,4,True
0.0,34,5,True
0.0,34,6,True
0.0,34,7,True
0.0,34,8,True
0.0,34,9,True
0.0,34,10,True
0.0,35,1,True
0.0,35,2,True
0.0,35,3,True
0.0,35,4,True
0.0,35,5,True
0.0,35,6,True
0.0,35,7,True
0.0,35,8,True
0.0,35,9,True
0.0,35,10,True
0.0,36,1,True
0.0,36,2,True
0.0,36,3,True
0.0,36,4,True
0.0,36,5,True
0.0,36,6,True
0.0,36,7,True
0.0,36,8,True
0.0,36,9,True
0.0,36,10,True
0.0,37,1,True
0.0,37,2,True
0.0,37,3,True
0.0,37,4,True
0.0,37,5,True
0.0,37,6,True
0.0,37,7,True
0.0,37,8,True
0.0,37,9,True
0.0,37,10,True
0.0,38,1,True
0.0,38,2,True
0.0,38,3,True
0.0,38,4,True
0.0,38,5,True
0.0,38,6,True
0.0,38,7,True
0.0,38,8,True
0.0,38,9,True
0.0,38,10,True
0.0,39,1,True
0.0,39,2,True
0.0,39,3,True
0.0,39,4,True
0.0,39,5,True
0.0,39,6,True
0.0,39,7,True
0.0,39,8,True
0.0,39,9,True
0.0,39,10,True
0.0,40,1,True
0.0,40,2,True
0.0,40,3,True
0.0,40,4,True
0.0,40,5,True
0.0,40,6,True
0.0,40,7,True
0.0,40,8,True
0.0,40,9,True
0.0,40,10,True
0.0,41,1,True
0.0,41,2,True
0.0,41,3,True
0.0,41,4,True
0.0,41,5,True
0.0,41,6,True
0.0,41,7,True
0.0,41,8,True
0.0,41,9,True
0.0,41,10,True
0.0,42,1,True
0.0,42,2,True
0.0,42,3,True
0.0,42,4,True
0.0,42,5,True
0.0,42,6,True
0.0,42,7,True
0.0,42,8,True
0.0,42,9,True
0.0,42,10,True
0.0,43,1,True
0.0,43,2,True
0.0,43,3,True
0.0,43,4,True
0.0,43,5,True
0.0,43,6,True
0.0,43,7,True
0.0,43,8,True
0.0,43,9,True
0.0,43,10,True
0.0,44,1,True
0.0,44,2,True
0.0,44,3,True
0.0,44,4,True
0.0,44,5,True
0.0,44,6,True
0.0,44,7,True
0.0,44,8,True
0.0,44,9,True
0.0,44,10,True
0.0,45,1,True
0.0,45,2,True
0.0,45,3,True
0.0,45,4,True
0.0,45,5,True
0.0,45,6,True
0.0,45,7,True
0.0,45,8,True
0.0,45,9,True
0.0,45,10,True
0.0,46,1,True
0.0,46,2,True
0.0,46,3,True
0.0,46,4,True
0.0,46,5,True
0.0,46,6,True
0.0,46,7,True
0.0,46,8,True
0.0,46,9,True
0.0,46,10,True
0.0,47,1,True
0.0,47,2,True
0.0,47,3,True
0.0,47,4,True
0.0,47,5,True
0.0,47,6,True
0.0,47,7,True
0.0,47,8,True
0.0,47,9,True
0.0,47,10,True
0.0,48,1,True
0.0,48,2,True
0.0,48,3,True
0.0,48,4,True
0.0,48,5,True
0.0,48,6,True
0.0,48,7,True
0.0,48,8,True
0.0,48,9,True
0.0,48,10,True
0.0,49,1,True
0.0,49,2,True
0.0,49,3,True
0.0,49,4,True
0.0,49,5,True
0.0,49,6,True
0.0,49,7,True
0.0,49,8,True
0.0,49,9,True
0.0,49,10,True
0.0,50,1,True
0.0,50,2,True
0.0,50,3,True
0.0,50,4,True
0.0,50,5,True
0.0,50,6,True
0.0,50,7,True
0.0,50,8,True
0.0,50,9,True
0.0,50,10,True
0.0,51,1,True
0.0,51,2,True
0.0,51,3,True
0.0,51,4,True
0.0,51,5,True
0.0,51,6,True
0.0,51,7,True
0.0,51,8,True
0.0,51,9,True
0.0,51,10,True
0.0,52,1,True
0.0,52,2,True
0.0,52,3,True
0.0,52,4,True
0.0,52,5,True
0.0,52,6,True
0.0,52,7,True
0.0,52,8,True
0.0,52,9,True
0.0,52,10,True
0.0,53,1,True
0.0,53,2,True
0.0,53,3,True
0.0,53,4,True
0.0,53,5,True
0.0,53,6,True
0.0,53,7,True
0.0,53,8,True
0.0,53,9,True
0.0,53,10,True
0.0,54,1,True
0.0,54,2,True
0.0,54,3,True
0.0,54,4,True
0.0,54,5,True
0.0,54,6,True
0.0,54,7,True
0.0,54,8,True
0.0,54,9,True
0.0,54,10,True
0.0,55,1,True
0.0,55,2,True
0.0,55,3,True
0.0,55,4,True
0.0,55,5,True
0.0,55,6,True
0.0,55,7,True
0.0,55,8,True
0.0,55,9,True
0.0,55,10,True
0.0,56,1,True
0.0,56,2,True
0.0,56,3,True
0.0,56,4,True
0.0,56,5,True
0.0,56,6,True
0.0,56,7,True
0.0,56,8,True
0.0,56,9,True
0.0,56,10,True
0.0,57,1,True
0.0,57,2,True
0.0,57,3,True
0.0,57,4,True
0.0,57,5,True
0.0,57,6,True
0.0,57,7,True
0.0,57,8,True
0.0,57,9,True
0.0,57,10,True
0.0,58,1,True
0.0,58,2,True
0.0,58,3,True
0.0,58,4,True
0.0,58,5,True
0.0,58,6,True
0.0,58,7,True
0.0,58,8,True
0.0,58,9,True
0.0,58,10,True
0.0,59,1,True
0.0,59,2,True
0.0,59,3,True
0.0,59,4,True
0.0,59,5,True
0.0,59,6,True
0.0,59,7,True
0.0,59,8,True
0.0,59,9,True
0.0,59,10,True
0.0,60,1,True
0.0,60,2,True
0.0,60,3,True
0.0,60,4,True
0.0,60,5,True
0.0,60,6,True
0.0,60,7,True
0.0,60,8,True
0.0,60,9,True
0.0,60,10,True
0.0,61,1,True
0.0,61,2,True
0.0,61,3,True
0.0,61,4,True
0.0,61,5,True
0.0,61,6,True
0.0,61,7,True
0.0,61,8,True
0.0,61,9,True
0.0,61,10,True
0.0,62,1,True
0.0,62,2,True
0.0,62,3,True
0.0,62,4,True
0.0,62,5,True
0.0,62,6,True
0.0,62,7,True
0.0,62,8,True
0.0,62,9,True
0.0,62,10,True
0.0,63,1,True
0.0,63,2,True
0.0,63,3,True
0.0,63,4,True
0.0,63,5,True
0.0,63,6,True
0.0,63,7,True
0.0,63,8,True
0.0,63,9,True
0.0,63,10,True
0.0,64,1,True
0.0,64,2,True
0.0,64,3,True
0.0,64,4,True
0.0,64,5,True
0.0,64,6,True
0.0,64,7,True
0.0,64,8,True
0.0,64,9,True
0.0,64,10,True
0.0,65,1,True
0.0,65,2,True
0.0,65,3,True
0.0,65,4,True
0.0,65,5,True
0.0,65,6,True
0.0,65,7,True
0.0,65,8,True
0.0,65,9,True
0.0,65,10,True
0.0,66,1,True
0.0,66,2,True
0.0,66,3,True
0.0,66,4,True
0.0,66,5,True
0.0,66,6,True
0.0,66,7,True
0.0,66,8,True
0.0,66,9,True
0.0,66,10,True
0.0,67,1,True
0.0,67,2,True
0.0,67,3,True
0.0,67,4,True
0.0,67,5,True
0.0,67,6,True
0.0,67,7,True
0.0,67,8,True
0.0,67,9,True
0.0,67,10,True
0.0,68,1,True
0.0,68,2,True
0.0,68,3,True
0.0,68,4,True
0.0,68,5,True
0.0,68,6,True
0.0,68,7,True
0.0,68,8,True
0.0,68,9,True
0.0,68,10,True
0.0,69,1,True
0.0,69,2,True
0.0,69,3,True
0.0,69,4,True
0.0,69,5,True
0.0,69,6,True
0.0,69,7,True
0.0,69,8,True
0.0,69,9,True
0.0,69,10,True
0.0,70,1,True
0.0,70,2,True
0.0,70,3,True
0.0,70,4,True
0.0,70,5,True
0.0,70,6,True
0.0,70,7,True
0.0,70,8,True
0.0,70,9,True
0.0,70,10,True
0.0,71,1,True
0.0,71,2,True
0.0,71,3,True
0.0,71,4,True
0.0,71,5,True
0.0,71,6,True
0.0,71,7,True
0.0,71,8,True
0.0,71,9,True
0.0,71,10,True
0.0,72,1,True
0.0,72,2,True
0.0,72,3,True
0.0,72,4,True
0.0,72,5,True
0.0,72,6,True
0.0,72,7,True
0.0,72,8,True
0.0,72,9,True
0.0,72,10,True
0.0,73,1,True
0.0,73,2,True
0.0,73,3,True
0.0,73,4,True
0.0,73,5,True
0.0,73,6,True
0.0,73,7,True
0.0,73,8,True
0.0,73,9,True
0.0,73,10,True
0.0,74,1,True
0.0,74,2,True
0.0,74,3,True
0.0,74,4,True
0.0,74,5,True
0.0,74,6,True
0.0,74,7,True
0.0,74,8,True
0.0,74,9,True
0.0,74,10,True
0.0,75,1,True
0.0,75,2,True
0.0,75,3,True
0.0,75,4,True
0.0,75,5,True
0.0,75,6,True
0.0,75,7,True
0.0,75,8,True
0.0,75,9,True
0.0,75,10,True
0.0,76,1,True
0.0,76,2,True
0.0,76,3,True
0.0,76,4,True
0.0,76,5,True
0.0,76,6,True
0.0,76,7,True
0.0,76,8,True
0.0,76,9,True
0.0,76,10,True
0.0,77,1,True
0.0,77,2,True
0.0,77,3,True
0.0,77,4,True
0.0,77,5,True
0.0,77,6,True
0.0,77,7,True
0.0,77,8,True
0.0,77,9,True
0.0,77,10,True
0.0,78,1,True
0.0,78,2,True
0.0,78,3,True
0.0,78,4,True
0.0,78,5,True
0.0,78,6,True
0.0,78,7,True
0.0,78,8,True
0.0,78,9,True
0.0,78,10,True
0.0,79,1,True
0.0,79,2,True
0.0,79,3,True
0.0,79,4,True
0.0,79,5,True
0.0,79,6,True
0.0,79,7,True
0.0,79,8,True
0.0,79,9,True
0.0,79,10,True
0.0,80,1,True
0.0,80,2,True
0.0,80,3,True
0.0,80,4,True
0.0,80,5,True
0.0,80,6,True
0.0,80,7,True
0.0,80,8,True
0.0,80,9,True
0.0,80,10,True
0.0,81,1,True
0.0,81,2,True
0.0,81,3,True
0.0,81,4,True
0.0,81,5,True
0.0,81,6,True
0.0,81,7,True
0.0,81,8,True
0.0,81,9,True
0.0,81,10,True
0.0,82,1,True
0.0,82,2,True
0.0,82,3,True
0.0,82,4,True
0.0,82,5,True
0.0,82,6,True
0.0,82,7,True
0.0,82,8,True
0.0,82,9,True
0.0,82,10,True
0.0,83,1,True
0.0,83,2,True
0.0,83,3,True
0.0,83,4,True
0.0,83,5,True
0.0,83,6,True
0.0,83,7,True
0.0,83,8,True
0.0,83,9,True
0.0,83,10,True
0.0,84,1,True
0.0,84,2,True
0.0,84,3,True
0.0,84,4,True
0.0,84,5,True
0.0,84,6,True
0.0,84,7,True
0.0,84,8,True
0.0,84,9,True
0.0,84,10,True
0.0,85,1,True
0.0,85,2,True
0.0,85,3,True
0.0,85,4,True
0.0,85,5,True
0.0,85,6,True
0.0,85,7,True
0.0,85,8,True
0.0,85,9,True
0.0,85,10,True
0.0,86,1,True
0.0,86,2,True
0.0,86,3,True
0.0,86,4,True
0.0,86,5,True
0.0,86,6,True
0.0,86,7,True
0.0,86,8,True
0.0,86,9,True
0.0,86,10,True
0.0,87,1,True
0.0,87,2,True
0.0,87,3,True
0.0,87,4,True
0.0,87,5,True
0.0,87,6,True
0.0,87,7,True
0.0,87,8,True
0.0,87,9,True
0.0,87,10,True
0.0,88,1,True
0.0,88,2,True
0.0,88,3,True
0.0,88,4,True
0.0,88,5,True
0.0,88,6,True
0.0,88,7,True
0.0,88,8,True
0.0,88,9,True
0.0,88,10,True
0.0,89,1,True
0.0,89,2,True
0.0,89,3,True
0.0,89,4,True
0.0,89,5,True
0.0,89,6,True
0.0,89,7,True
0.0,89,8,True
0.0,89,9,True
0.0,89,10,True
0.0,90,1,True
0.0,90,2,True
0.0,90,3,True
0.0,90,4,True
0.0,90,5,True
0.0,90,6,True
0.0,90,7,True
0.0,90,8,True
0.0,90,9,True
0.0,90,10,True
0.0,91,1,True
0.0,91,2,True
0.0,91,3,True
0.0,91,4,True
0.0,91,5,True
0.0,91,6,True
0.0,91,7,True
0.0,91,8,True
0.0,91,9,True
0.0,91,10,True
0.0,92,1,True
0.0,92,2,True
0.0,92,3,True
0.0,92,4,True
0.0,92,5,True
0.0,92,6,True
0.0,92,7,True
0.0,92,8,True
0.0,92,9,True
0.0,92,10,True
0.0,93,1,True
0.0,93,2,True
0.0,93,3,True
0.0,93,4,True
0.0,93,5,True
0.0,93,6,True
0.0,93,7,True
0.0,93,8,True
0.0,93,9,True
0.0,93,10,True
0.0,94,1,True
0.0,94,2,True
0.0,94,3,True
0.0,94,4,True
0.0,94,5,True
0.0,94,6,True
0.0,94,7,True
0.0,94,8,True
0.0,94,9,True
0.0,94,10,True
0.0,95,1,True
0.0,95,2,True
0.0,95,3,True
0.0,95,4,True
0.0,95,5,True
0.0,95,6,True
0.0,95,7,True
0.0,95,8,True
0.0,95,9,True
0.0,95,10,True
0.0,96,1,True
0.0,96,2,True
0.0,96,3,True
0.0,96,4,True
0.0,96,5,True
0.0,96,6,True
0.0,96,7,True
0.0,96,8,True
0.0,96,9,True
0.0,96,10,True
0.0,97,1,True
0.0,97,2,True
0.0,97,3,True
0.0,97,4,True
0.0,97,5,True
0.0,97,6,True
0.0,97,7,True
0.0,97,8,True
0.0,97,9,True
0.0,97,10,True
0.0,98,1,True
0.0,98,2,True
0.0,98,3,True
0.0,98,4,True
0.0,98,5,True
0.0,98,6,True
0.0,98,7,True
0.0,98,8,True
0.0,98,9,True
0.0,98,10,True
0.0,99,1,True
0.0,99,2,True
0.0,99,3,True
0.0,99,4,True
0.0,99,5,True
0.0,99,6,True
0.0,99,7,True
0.0,99,8,True
0.0,99,9,True
0.0,99,10,True
0.0,100,1,True
0.0,100,2,True
0.0,100,3,True
0.0,100,4,True
0.0,100,5,True
0.0,100,6,True
0.0,100,7,True
0.0,100,8,True
0.0,100,9,True
0.0,100,10,True
0.0,101,1,True
0.0,101,2,True
0.0,101,3,True
0.0,101,4,True
0.0,101,5,True
0.0,101,6,True
0.0,101,7,True
0.0,101,8,True
0.0,101,9,True
0.0,101,10,True
0.0,102,1,True
0.0,102,2,True
0.0,102,3,True
0.0,102,4,True
0.0,102,5,True
0.0,102,6,True
0.0,102,7,True
0.0,102,8,True
0.0,102,9,True
0.0,102,10,True
0.0,103,1,True
0.0,103,2,True
0.0,103,3,True
0.0,103,4,True
0.0,103,5,True
0.0,103,6,True
0.0,103,7,True
0.0,103,8,True
0.0,103,9,True
0.0,103,10,True
0.0,104,1,True
0.0,104,2,True
0.0,104,3,True
0.0,104,4,True
0.0,104,5,True
0.0,104,6,True
0.0,104,7,True
0.0,104,8,True
0.0,104,9,True
0.0,104,10,True
0.0,105,1,True
0.0,105,2,True
0.0,105,3,True
0.0,105,4,True
0.0,105,5,True
0.0,105,6,True
0.0,105,7,True
0.0,105,8,True
0.0,105,9,True
0.0,105,10,True
0.0,106,1,True
0.0,106,2,True
0.0,106,3,True
0.0,106,4,True
0.0,106,5,True
0.0,106,6,True
0.0,106,7,True
0.0,106,8,True
0.0,106,9,True
0.0,106,10,True
0.0,107,1,True
0.0,107,2,True
0.0,107,3,True
0.0,107,4,True
0.0,107,5,True
0.0,107,6,True
0.0,107,7,True
0.0,107,8,True
0.0,107,9,True
0.0,107,10,True
0.0,108,1,True
0.0,108,2,True
0.0,108,3,True
0.0,108,4,True
0.0,108,5,True
0.0,108,6,True
0.0,108,7,True
0.0,108,8,True
0.0,108,9,True
0.0,108,10,True
0.0,109,1,True
0.0,109,2,True
0.0,109,3,True
0.0,109,4,True
0.0,109,5,True
0.0,109,6,True
0.0,109,7,True
0.0,109,8,True
0.0,109,9,True
0.0,109,10,True
0.0,110,1,True
0.0,110,2,True
0.0,110,3,True
0.0,110,4,True
0.0,110,5,True
0.0,110,6,True
0.0,110,7,True
0.0,110,8,True
0.0,110,9,True
0.0,110,10,True
0.0,111,1,True
0.0,111,2,True
0.0,111,3,True
0.0,111,4,True
0.0,111,5,True
0.0,111,6,True
0.0,111,7,True
0.0,111,8,True
0.0,111,9,True
0.0,111,10,True
0.0,112,1,True
0.0,112,2,True
0.0,112,3,True
0.0,112,4,True
0.0,112,5,True
0.0,112,6,True
0.0,112,7,True
0.0,112,8,True
0.0,112,9,True
0.0,112,10,True
0.0,113,1,True
0.0,113,2,True
0.0,113,3,True
0.0,113,4,True
0.0,113,5,True
0.0,113,6,True
0.0,113,7,True
0.0,113,8,True
0.0,113,9,True
0.0,113,10,True
0.0,114,1,True
0.0,114,2,True
0.0,114,3,True
0.0,114,4,True
0.0,114,5,True
0.0,114,6,True
0.0,114,7,True
0.0,114,8,True
0.0,114,9,True
0.0,114,10,True
0.0,115,1,True
0.0,115,2,True
0.0,115,3,True
0.0,115,4,True
0.0,115,5,True
0.0,115,6,True
0.0,115,7,True
0.0,115,8,True
0.0,115,9,True
0.0,115,10,True
0.0,116,1,True
0.0,116,2,True
0.0,116,3,True
0.0,116,4,True
0.0,116,5,True
0.0,116,6,True
0.0,116,7,True
0.0,116,8,True
0.0,116,9,True
0.0,116,10,True
0.0,117,1,True
0.0,117,2,True
0.0,117,3,True
0.0,117,4,True
0.0,117,5,True
0.0,117,6,True
0.0,117,7,True
0.0,117,8,True
0.0,117,9,True
0.0,117,10,True
0.0,118,1,True
0.0,118,2,True
0.0,118,3,True
0.0,118,4,True
0.0,118,5,True
0.0,118,6,True
0.0,118,7,True
0.0,118,8,True
0.0,118,9,True
0.0,118,10,True
0.0,119,1,True
0.0,119,2,True
0.0,119,3,True
0.0,119,4,True
0.0,119,5,True
0.0,119,6,True
0.0,119,7,True
0.0,119,8,True
0.0,119,9,True
0.0,119,10,True
0.0,120,1,True
0.0,120,2,True
0.0,120,3,True
0.0,120,4,True
0.0,120,5,True
0.0,120,6,True
0.0,120,7,True
0.0,120,8,True
0.0,120,9,True
0.0,120,10,True
0.0,121,1,True
0.0,121,2,True
0.0,121,3,True
0.0,121,4,True
0.0,121,5,True
0.0,121,6,True
0.0,121,7,True
0.0,121,8,True
0.0,121,9,True
0.0,121,10,True
0.0,122,1,True
0.0,122,2,True
0.0,122,3,True
0.0,122,4,True
0.0,122,5,True
0.0,122,6,True
0.0,122,7,True
0.0,122,8,True
0.0,122,9,True
0.0,122,10,True
0.0,123,1,True
0.0,123,2,True
0.0,123,3,True
0.0,123,4,True
0.0,123,5,True
0.0,123,6,True
0.0,123,7,True
0.0,123,8,True
0.0,123,9,True
0.0,123,10,True
0.0,124,1,True
0.0,124,2,True
0.0,124,3,True
0.0,124,4,True
0.0,124,5,True
0.0,124,6,True
0.0,124,7,True
0.0,124,8,True
0.0,124,9,True
0.0,124,10,True
0.0,125,1,True
0.0,125,2,True
0.0,125,3,True
0.0,125,4,True
0.0,125,5,True
0.0,125,6,True
0.0,125,7,True
0.0,125,8,True
0.0,125,9,True
0.0,125,10,True
0.0,126,1,True
0.0,126,2,True
0.0,126,3,True
0.0,126,4,True
0.0,126,5,True
0.0,126,6,True
0.0,126,7,True
0.0,126,8,True
0.0,126,9,True
0.0,126,10,True
0.0,127,1,True
0.0,127,2,True
0.0,127,3,True
0.0,127,4,True
0.0,127,5,True
0.0,127,6,True
0.0,127,7,True
0.0,127,8,True
0.0,127,9,True
0.0,127,10,True
0.0,128,1,True
0.0,128,2,True
0.0,128,3,True
0.0,128,4,True
0.0,128,5,True
0.0,128,6,True
0.0,128,7,True
0.0,128,8,True
0.0,128,9,True
0.0,128,10,True
0.0,129,1,True
0.0,129,2,True
0.0,129,3,True
0.0,129,4,True
0.0,129,5,True
0.0,129,6,True
0.0,129,7,True
0.0,129,8,True
0.0,129,9,True
0.0,129,10,True
0.0,130,1,True
0.0,130,2,True
0.0,130,3,True
0.0,130,4,True
0.0,130,5,True
0.0,130,6,True
0.0,130,7,True
0.0,130,8,True
0.0,130,9,True
0.0,130,10,True
0.0,131,1,True
0.0,131,2,True
0.0,131,3,True
0.0,131,4,True
0.0,131,5,True
0.0,131,6,True
0.0,131,7,True
0.0,131,8,True
0.0,131,9,True
0.0,131,10,True
0.0,132,1,True
0.0,132,2,True
0.0,132,3,True
0.0,132,4,True
0.0,132,5,True
0.0,132,6,True
0.0,132,7,True
0.0,132,8,True
0.0,132,9,True
0.0,132,10,True
0.0,133,1,True
0.0,133,2,True
0.0,133,3,True
0.0,133,4,True
0.0,133,5,True
0.0,133,6,True
0.0,133,7,True
0.0,133,8,True
0.0,133,9,True
0.0,133,10,True
0.0,134,1,True
0.0,134,2,True
0.0,134,3,True
0.0,134,4,True
0.0,134,5,True
0.0,134,6,True
0.0,134,7,True
0.0,134,8,True
0.0,134,9,True
0.0,134,10,True
0.0,135,1,True
0.0,135,2,True
0.0,135,3,True
0.0,135,4,True
0.0,135,5,True
0.0,135,6,True
0.0,135,7,True
0.0,135,8,True
0.0,135,9,True
0.0,135,10,True
0.0,136,1,True
0.0,136,2,True
0.0,136,3,True
0.0,136,4,True
0.0,136,5,True
0.0,136,6,True
0.0,136,7,True
0.0,136,8,True
0.0,136,9,True
0.0,136,10,True
0.0,137,1,True
0.0,137,2,True
0.0,137,3,True
0.0,137,4,True
0.0,137,5,True
0.0,137,6,True
0.0,137,7,True
0.0,137,8,True
0.0,137,9,True
0.0,137,10,True
0.0,138,1,True
0.0,138,2,True
0.0,138,3,True
0.0,138,4,True
0.0,138,5,True
0.0,138,6,True
0.0,138,7,True
0.0,138,8,True
0.0,138,9,True
0.0,138,10,True
0.0,139,1,True
0.0,139,2,True
0.0,139,3,True
0.0,139,4,True
0.0,139,5,True
0.0,139,6,True
0.0,139,7,True
0.0,139,8,True
0.0,139,9,True
0.0,139,10,True
0.0,140,1,True
0.0,140,2,True
0.0,140,3,True
0.0,140,4,True
0.0,140,5,True
0.0,140,6,True
